"AGE","STAGE","YEARS","OD_PROB_1Y","CD_PROB_1Y","OD_PROB_1M","CD_PROB_1M"
"(29,39]","Distant",1,0.0026511907664597,0.252091061275789,0.00022120148106497,0.0239155509774738
"(29,39]","Distant",2,0.00290228758629552,0.194488017052531,0.000242179618914817,0.0178616553049654
"(29,39]","Distant",3,0.00309127938779374,0.146493995023938,0.00025797232454694,0.013113484203446
"(29,39]","Distant",4,0.00324578495338779,0.114361815212187,0.000270885298903178,0.0100695245041392
"(29,39]","Distant",5,0.00337675089085854,0.0931277241130676,0.000281832359559364,0.00811304839439686
"(29,39]","Distant",6,0.00349040784023091,0.0789037471618301,0.000291333681213146,0.00682582575746959
"(29,39]","Distant",7,0.00359102341493467,0.0692076076335835,0.000299745618733249,0.0059587608098618
"(29,39]","Distant",8,0.00368141991012438,0.0624981708939977,0.000307303856969421,0.0053636117006709
"(29,39]","Distant",9,0.00376356944085865,0.0578082802387488,0.000314173094650094,0.00494991699570668
"(29,39]","Distant",10,0.00382083401116318,0.0552007431865238,0.000318961791205274,0.00472072225749087
"(39,44]","Localized",0,0.00190108749533158,0.0112211709959673,0.000158562165665455,0.000939941586636683
"(39,44]","Localized",1,0.00225392007387104,0.0133551006943468,0.000188020986416682,0.00111979606743995
"(39,44]","Localized",2,0.00246743756663914,0.00996081479233524,0.000205852701712361,0.000833881762113964
"(39,44]","Localized",3,0.00262815004225647,0.00730512357318258,0.000219276762965626,0.000610808101576099
"(39,44]","Localized",4,0.00275953994117961,0.00560559912184777,0.000230253028596694,0.00046833775020505
"(39,44]","Localized",5,0.0028709143818344,0.00451447227356672,0.000239558248093852,0.000376986695713732
"(39,44]","Localized",6,0.00296757090535738,0.00379710990431903,0.000247634573047328,0.000316977854170175
"(39,44]","Localized",7,0.003053138119402,0.00331413215210963,0.000254784907988692,0.000276598077352253
"(39,44]","Localized",8,0.00313001575486982,0.0029827269899162,0.000261209587152589,0.000248901034441307
"(39,44]","Localized",9,0.00319988067278654,0.00275241554345818,0.000267048606060638,0.000229657824942997
"(39,44]","Localized",10,0.00324858242996906,0.0026248369442432,0.000271119118028351,0.000219000005063918
"(39,44]","Regional",0,0.00183330319920771,0.0334846109197694,0.000152903788712022,0.0028341476970104
"(39,44]","Regional",1,0.00217356904646171,0.039766311262401,0.000181311450774269,0.00337583886401194
"(39,44]","Regional",2,0.00237948383681119,0.029761594331853,0.000198506903841822,0.0025146212500583
"(39,44]","Regional",3,0.00253447487209812,0.0218854762825142,0.000211451981765975,0.001842343787965
"(39,44]","Regional",4,0.00266118789052394,0.0168227439051662,0.000222036608363729,0.00141282215321981
"(39,44]","Regional",5,0.0027685983761857,0.0135631556350114,0.000231009815896299,0.00113735068192655
"(39,44]","Regional",6,0.00286181512073547,0.0114162039881787,0.000238797978487582,0.000956364815336785
"(39,44]","Regional",7,0.00294433746745126,0.00996896970260897,0.000245693192159613,0.000834567605405678
"(39,44]","Regional",8,0.00301847966555269,0.00897510088692144,0.00025188864268133,0.000751019487547633
"(39,44]","Regional",9,0.00308585884753731,0.00828401469350759,0.000257519330181366,0.000692969604332183
"(39,44]","Regional",10,0.0031328279362155,0.00790105612155523,0.000261444610313077,0.000660817801863334
"(39,44]","Distant",0,0.0028164089025321,0.209002261382562,0.000235004252555737,0.0193487110666162
"(39,44]","Distant",1,0.00333883631736687,0.243723653244374,0.000278663055354622,0.0230101695634032
"(39,44]","Distant",2,0.0036549412800887,0.187787635548051,0.000305089858760432,0.0171834380765635
"(39,44]","Distant",3,0.00389284879833629,0.141299970111576,0.000324984319172383,0.0126143985410289
"(39,44]","Distant",4,0.00408733549113016,0.110232580533458,0.000341251050466784,0.00968571972079646
"(39,44]","Distant",5,0.0042521851153815,0.0897259209756155,0.000355041238316645,0.00780352145171714
"(39,44]","Distant",6,0.00439524298497351,0.0759995344767368,0.000367010173759952,0.00656524594051811
"(39,44]","Distant",7,0.00452188238361895,0.0666472504499965,0.000377606773522055,0.00573118611659573
"(39,44]","Distant",8,0.00463565674460331,0.0601779377806371,0.00038712794020912,0.00515870769040172
"(39,44]","Distant",9,0.00473904902854372,0.0556569472976611,0.000395781151752983,0.00476077935708996
"(39,44]","Distant",10,0.00481112012901497,0.0531436903106465,0.000401813486556879,0.00454032221669032
"(44,49]","Localized",0,0.00206469516321905,0.0117848210890696,0.00017222096699443,0.000987413230382872
"(44,49]","Localized",1,0.00244785527444191,0.0140251777654996,0.000204217159031406,0.00117634589247462
"(44,49]","Localized",2,0.00267971987836513,0.0104614914529795,0.000223584730779658,0.000875999215082635
"(44,49]","Localized",3,0.00285423922041583,0.00767283064173974,0.000238164994936119,0.000641662234272311
"(44,49]","Localized",4,0.0029969150727932,0.00588801366812008,0.000250086624396184,0.000491996960263918
"(44,49]","Localized",5,0.00311785493773109,0.00474204614093277,0.000260193275026133,0.000396032001402036
"(44,49]","Localized",6,0.00322281188999129,0.00398859413009356,0.000268965183477854,0.000332992028051704
"(44,49]","Localized",7,0.00331572650113432,0.00348130290167947,0.000276731344784786,0.000290572503738429
"(44,49]","Localized",8,0.00339920480004186,0.00313320735923406,0.000283709348746553,0.00026147631997786
"(44,49]","Localized",9,0.00347506779303575,0.00289129341751493,0.00029005124917536,0.000241260998592008
"(44,49]","Localized",10,0.00352795044493492,0.0027572865232145,0.000294472329322226,0.000230064767685167
"(44,49]","Regional",0,0.0019910831683867,0.0351465035008487,0.000166075208783201,0.00297714334885479
"(44,49]","Regional",1,0.00236059874441119,0.0417331862264536,0.000196929719309957,0.00354611666977034
"(44,49]","Regional",2,0.00258420898647227,0.031241709036974,0.000215606238488042,0.00264151670021862
"(44,49]","Regional",3,0.00275251667726861,0.0229785442201189,0.000229666274080942,0.00193534698787823
"(44,49]","Regional",4,0.00289011506189307,0.0176652427896186,0.000241162541365525,0.00148415883108455
"(44,49]","Regional",5,0.00300675153743923,0.0142435960859366,0.000250908591858501,0.00119478648662985
"(44,49]","Regional",6,0.00310797422775788,0.0119895912513398,0.000259367525943244,0.00100466549526701
"(44,49]","Regional",7,0.00319758334866327,0.0104700540953596,0.000266856599311915,0.000876719683544191
"(44,49]","Regional",8,0.00327809211376762,0.00942646723078411,0.000273585637677876,0.000788953409845305
"(44,49]","Regional",9,0.00335125667735003,0.00870077844146411,0.000279701269265131,0.000727972500765284
"(44,49]","Regional",10,0.00340225842292186,0.00829863417899723,0.000283964613178034,0.000694197228433335
"(44,49]","Distant",0,0.00305866838583146,0.21831810530733,0.000255247058285502,0.0203164005222444
"(44,49]","Distant",1,0.00362595175997515,0.254323831635939,0.000302665975506433,0.0241587133931381
"(44,49]","Distant",2,0.00396918526311218,0.196279185806192,0.00033136870069983,0.0180438345689371
"(44,49]","Distant",3,0.00422750412803885,0.147884434970899,0.000352976463152688,0.013247561768604
"(44,49]","Distant",4,0.00443867291639977,0.115468204579571,0.000370644050548985,0.0101726399924317
"(44,49]","Distant",5,0.00461765973497574,0.0940397302194761,0.000385621800478964,0.0081962119048069
"(44,49]","Distant",6,0.0047729839100642,0.0796826463983877,0.000398621443774005,0.00689584039025171
"(44,49]","Distant",7,0.00491048023003848,0.0698944608795378,0.000410130561168343,0.00601990866319879
"(44,49]","Distant",8,0.00503400729488301,0.0631207160153024,0.000420471626472185,0.00541866888830311
"(44,49]","Distant",9,0.00514626127922058,0.0583855775195403,0.000429869986833475,0.00500073831277703
"(44,49]","Distant",10,0.00522450896307669,0.0557527780558692,0.000436421776321305,0.00476919605173476
"(49,54]","Localized",0,0.00289013696783658,0.0120581089951514,0.000241164371710512,0.00101043897375985
"(49,54]","Localized",1,0.00342621699786816,0.0143500408632485,0.000285967430235567,0.00120377475022415
"(49,54]","Localized",2,0.00375057916648525,0.0107042580523844,0.000313086830120768,0.000896428032157282
"(49,54]","Localized",3,0.00399469945947684,0.00785114126525266,0.000333502674271013,0.000656627970987311
"(49,54]","Localized",4,0.00419426388952604,0.00602497254189993,0.00035019570773831,0.000503472875203914
"(49,54]","Localized",5,0.0043634166744545,0.00485241419218341,0.000364347289418032,0.000405269970758515
"(49,54]","Localized",6,0.00451020826754656,0.00408146205162951,0.00037662988572329,0.000340759757444631
"(49,54]","Localized",7,0.00464015241617011,0.00356238050653901,0.00038750417936384,0.000297350856958478
"(49,54]","Localized",8,0.00475689543477009,0.00320619106087983,0.000397274854614937,0.0002675760204921
"(49,54]","Localized",9,0.00486298517856909,0.00295865043697818,0.000406154827259475,0.000246889175795517
"(49,54]","Localized",10,0.00493693641190862,0.00282152607000641,0.000412345240778711,0.000235431788083162
"(49,54]","Regional",0,0.00278713684974674,0.0359515902085469,0.00023255863302496,0.00304649731434614
"(49,54]","Regional",1,0.003304143471072,0.042685785382053,0.00027576315428024,0.0036287010011562
"(49,54]","Regional",2,0.00361696984582094,0.0319588387810789,0.000301914989255248,0.0027030626867629
"(49,54]","Regional",3,0.00385241050821283,0.0235083067954351,0.000321602454404601,0.0019804559211134
"(49,54]","Regional",4,0.00404488100915112,0.0180736445305002,0.000337699938784852,0.00151875950489067
"(49,54]","Regional",5,0.00420802198747738,0.0145734808902964,0.000351346649007711,0.00122264506050107
"(49,54]","Regional",6,0.00434959730779905,0.0122675982038641,0.000363191057318524,0.00102809334160392
"(49,54]","Regional",7,0.00447492448311548,0.0107130183195953,0.000373677409227224,0.000897165294822422
