"AGE","STAGE","YEARS","OD_HAZARD","OD_LOWER","OD_UPPER","CD_HAZARD","CD_LOWER","CD_UPPER"
"(44,49]","Localized",1,0.00362676561313447,0.00304476386588554,0.00432001615480461,0.0223678123536087,0.0209352136603319,0.0238984447325536
"(44,49]","Localized",2,0.00393550967647011,0.00330610481034714,0.00468473861119,0.0159914417779724,0.014977323495804,0.0170742265202952
"(44,49]","Localized",3,0.00414485432103283,0.00348403529262983,0.00493101135694253,0.0114899472034913,0.0107631473233016,0.0122658255140811
"(44,49]","Localized",4,0.004301622760124,0.00361698235480431,0.00511585531301121,0.00867172305353916,0.00811905101689445,0.00926201642124606
"(44,49]","Localized",5,0.00443019800369481,0.00372510621623411,0.00526875026667282,0.00688999182397058,0.00644434368056335,0.00736645867706055
"(44,49]","Localized",6,0.0045419715762121,0.00381833737851099,0.00540274570863182,0.00573270838226353,0.00535531230617438,0.00613670066855178
"(44,49]","Localized",7,0.00464176971232798,0.00390109487376337,0.00552307157236923,0.00496145302069795,0.00462927246838637,0.00531747011524946
"(44,49]","Localized",8,0.00473257426323969,0.00397611054783597,0.00563295689127778,0.00443695776527036,0.00413572480523354,0.00476013180007478
"(44,49]","Localized",9,0.00481635701113055,0.00404517877031125,0.00573455373035243,0.00407540271359173,0.00379587982016845,0.00437550935505284
"(44,49]","Localized",10,0.00487557881659635,0.00409395938911965,0.00580642515898399,0.0038764254556489,0.00360912104261967,0.00416352738956512
"(44,49]","Regional",0,0.00302394326498267,0.00253606628521655,0.00360567726897334,0.0552586166422127,0.0518398177073479,0.0589029300733763
"(44,49]","Regional",1,0.00359693620281118,0.00301943837085193,0.00428488633658801,0.0644646479776671,0.0605375499538739,0.0686465000425729
"(44,49]","Regional",2,0.00390314090895296,0.0032782494709736,0.00464714763344261,0.0460877732956318,0.0433020838825229,0.0490526706891316
"(44,49]","Regional",3,0.0041107637363464,0.0034543507218696,0.00489191168523807,0.0331143426118534,0.0311124092170136,0.0352450910885556
"(44,49]","Regional",4,0.00426624278687646,0.00358586006405272,0.00507572163927831,0.0249921434053891,0.0234646814100047,0.0266190390961634
"(44,49]","Regional",5,0.00439376052519135,0.00369279164594345,0.00522778792988686,0.0198571451905805,0.01862113684276,0.0211751980293382
"(44,49]","Regional",6,0.00450461478278357,0.00378499586257199,0.00536105063284004,0.016521822607369,0.0154717932662023,0.0176431167993141
